Totem,Correct Side,User Side,React Time,React Answer
pic16r.jpg,L,L,372,Correct
npic8.jpg,R,R,215,Correct
pic9r.jpg,L,L,291,Correct
npic2.jpg,L,R,367,Incorrect
pic8.jpg,R,R,352,Correct
npic5r.jpg,L,L,341,Correct
npic10.jpg,L,L,362,Correct
pic9r.jpg,L,L,393,Correct
pic11r.jpg,R,R,283,Correct
npic3.jpg,R,R,278,Correct
