Totem,Correct Side,User Side,React Time,React Answer
pic5r.jpg,R,R,309,Correct
pic11.jpg,L,L,269,Correct
npic9r.jpg,L,L,292,Correct
pic11.jpg,L,L,255,Correct
pic13r.jpg,L,L,289,Correct
npic8r.jpg,L,L,243,Correct
npic2.jpg,R,R,272,Correct
pic19r.jpg,L,L,282,Correct
npic6.jpg,R,R,266,Correct
npic2r.jpg,L,L,262,Correct
